identifier,05_CP_PA_-Fe/+Fe__MEAN,05_CP_PA_-Fe/+Fe__STD,01_WC_PH_-Fe/+Fe__MEAN,01_WC_PH_-Fe/+Fe__STD,06_PA/PH__MEAN,06_PA/PH__STD,02_WC_PA_-Fe/+Fe__MEAN,02_WC_PA_-Fe/+Fe__STD,03_WC_PA/PH__MEAN,03_WC_PA/PH__STD,04_CP_PH_-Fe/+Fe__MEAN,04_CP_PH_-Fe/+Fe__STD
"Cre10.g451900.t1.1|PACid:19872781",-0.451539794388,0.347990980138,-0.632822626738,0.314840994418,-0.516845745662,0.177208454686,-1.2698834886,0.651411064136,-0.585544451978,0.178687204022,-0.00211529349428,0.358911098706
"Cre05.g245950.t1.1|PACid:19867907",0.653876633903,0.185202067307,0.861800166944,0.677356215407,-1.04403318512,0.585093356022,1.33302347788,0.301238672762,-0.837941355161,0.333856706238,2.23363708575,0.306737445899
"Cre03.g182050.t1.1|PACid:19872225",1.26578024952,0.542054750931,0.412294831149,0.470457161061,-0.877170764284,0.452427746586,0.949916493645,0.21863268052,-0.229079342045,0.234459967924,0.867696438473,0.355755056247
"Cre12.g537200.t1.1|PACid:19874272",-0.420898806377,0.0888996551297,0.0505859186235,0.419535502193,-0.974305343157,0.217676768276,-0.0389934628296,0.0698699371454,-0.581893533799,0.233383929299,0.423128074677,0.920088981979
"Cre22.g765600.t1.1|PACid:19861941",0.730777727746,0.09638404084,-0.242321736422,1.10539777319,-0.657630377176,0.0494977280009,-0.593527229946,0.001,-0.536467682746,0.001,0.665754138324,0.216887468323
"Cre01.g004500.t1.1|PACid:19865677",-0.693750580329,0.0847911448301,-1.4752566624,0.374442862874,-1.2569472412,0.104699360958,0.240545504,0.365619662426,-1.48963677613,0.185951267367,-0.809854862964,0.804867914207
"Cre05.g233800.t1.1|PACid:19868063",-0.173211406248,0.738594839167,-0.856214703993,0.734205581849,-0.645429198341,0.0986953596682,-0.0620508556602,0.327872425813,-0.51345112842,0.318095440978,-0.297930984292,0.345659896484
"Cre07.g344400.t1.1|PACid:19859115",0.65972903213,0.433305073504,-0.29631621097,0.149101780805,-1.3360917985,0.286452290971,0.607540154971,0.313446618391,-1.45557213948,0.218971890159,0.667341359031,0.521946604624
"Cre06.g293150.t1.1|PACid:19863973",-0.167387499003,0.509954177809,-0.0351696286871,0.182874901999,-1.81410805601,0.126231378057,-0.938790395702,0.380731648047,-0.894127496278,0.621433326965,0.108553449837,0.368761868215
"Cre01.g004300.t1.1|PACid:19865389",0.181544231467,0.001,-0.406196493046,0.355025013346,-0.716500503294,0.317773271061,-0.443032635087,0.343701769451,-0.597170023565,0.451175451487,-0.278114007341,0.547916551856
"Cre10.g451950.t1.1|PACid:19872661",-1.10252160996,0.0922364118156,-0.325040717745,0.146394438585,-0.515175612167,0.432783924462,-1.72465345362,0.406259882964,-0.348180318279,0.316654259926,-0.0670157920852,0.312027197695
"Cre17.g727300.t1.1|PACid:19867476",0.303665369774,0.177907094263,0.404460839323,0.277956607587,-1.73404591072,0.107019870256,0.178830916489,0.354234008535,-1.50515877243,0.246332385308,0.129145133197,1.01913175296
"Cre17.g734500.t1.1|PACid:19867637",-0.175463676008,0.370314250816,0.00379538820581,0.586727728729,0.0330777743617,0.517937267108,0.450746692524,0.0101293595207,-0.511021656848,0.0739983874553,0.951970320143,0.395787387192
"Cre07.g357350.t1.1|PACid:19858982",-0.135776807303,0.264131743807,0.313659762468,0.182852571735,0.257065911392,0.178089893364,-0.692472347066,0.161713706063,0.300615781915,0.129517851401,0.701504749266,0.335385573381
"NCBI|BK000554.2|DAA00921.1|28269743|TPA_inf: TPA_exp: ribosomal protein S4 [Chlamydomonas reinhardtii].",-0.614723845324,0.229615770657,-1.4392653356,0.328967148455,-0.24089720576,0.116641544499,-0.716708732977,0.242969222306,-0.194138544524,0.160627845664,-0.399076101369,0.297062632525
"Cre17.g698000.t1.1|PACid:19867293",0.274382851371,0.34530803843,0.367927290747,0.207481293291,-0.945201555642,0.291052910507,-0.624223573376,0.425829855085,-0.571153728646,0.203662683924,0.736814838169,0.176049645617
"Cre11.g473300.t1.2|PACid:19860097",-0.0676953043587,0.186943414019,-0.247207032186,0.156311789671,0.407159657312,0.0726553948839,-0.724970695427,0.207939748434,0.245279848339,0.265612162665,-0.59532272223,0.001
"Cre12.g549350.t1.1|PACid:19875060",-0.59607910912,0.697504379914,-0.630170983146,0.0248360785958,-0.311968285732,0.0861532471455,-0.719866753926,0.373734509732,0.85699608345,0.0718275158774,-0.732812536861,0.209246955633
"Cre13.g592950.t1.1|PACid:19870225",-0.586466150994,0.001,-0.521003959595,0.394721567086,-0.0658624242909,0.049153535448,-0.704972781463,0.0964412910332,0.0739645406591,0.0781299571624,-0.922176629819,0.49703661966
"Cre02.g080200.t1.1|PACid:19868419",-0.616884448501,0.320098284604,-1.42384836357,0.720601842045,-0.762736140039,0.308308120151,-0.758287262467,0.354409652871,-0.899085351803,0.296530181339,-0.882035486409,0.301806914919
"Cre10.g434450.t1.1|PACid:19872571",-0.260030389031,0.10474112905,-0.36540150706,0.535549264331,-0.400213259086,0.272489500892,-0.668409339963,0.0909850898774,0.264193124243,0.434748547033,0.193026879576,0.503732521933
"Cre06.g303300.t1.1|PACid:19863285",-0.00978989164523,0.0871008362827,1.46500090157,0.183988547838,1.24058610472,0.0897638698987,-0.279068439375,0.163728313732,1.20763743541,0.0892969471989,0.728963529679,0.458699686167
"Cre12.g496000.t1.2|PACid:19873996",-0.543833276746,0.298754225828,0.05812945914,0.0130618651659,-0.569938358616,0.197394587011,-0.602533349661,0.0361915737812,-0.594802240594,0.203254380947,0.552041930658,0.205610879404
"Cre10.g452050.t1.1|PACid:19873037",-0.183985839858,0.495316721257,-1.31351555594,0.28801085997,0.343554691706,0.144961788703,-0.692850659064,0.184828600392,0.506960065425,0.133057969701,-0.876599777323,0.265328885385
"Cre06.g309100.t1.1|PACid:19863204",0.0144071661602,0.185194460764,0.439280527954,0.348374664013,-1.19487246082,0.13058474022,-0.304687792265,0.257499930079,-0.76354510413,0.345340400253,0.406715087128,0.233974772744
"Cre01.g010400.t1.1|PACid:19866125",-0.89226907951,0.379648110487,1.43356397465,0.137468573473,-0.258490199887,0.640415134396,0.0912308189121,0.001,-0.0925220230288,0.12956481511,2.85706682811,0.155520470572
"Cre10.g459200.t1.1|PACid:19873169",0.64680271559,0.424829859138,0.478665487157,0.348191377394,-0.34371187653,0.265859827711,0.522142850559,0.293003759694,0.359652412067,0.194179090022,0.913095834041,0.924373622742
"Cre11.g468750.t1.1|PACid:19860204",-0.937789255617,0.228912076222,-0.26365931223,0.001,0.271089160718,0.00871844402165,-0.971291322498,0.001,0.0904897829177,0.138239485869,-0.505046440661,0.322343654235
"Cre13.g607450.t1.2|PACid:19870292",-0.655647107514,0.3205398252,0.168086230159,0.001,-0.204232634001,0.001,-0.620558257295,0.001,-0.147708374972,0.318409185698,-0.848335144822,0.0628502342199
"Cre03.g197500.t1.1|PACid:19871951",-0.0390013043364,0.171997135055,1.11205054649,0.302445796823,-0.401267987147,0.0682281204149,-0.477933041868,0.151652414908,0.764982503671,0.13814074273,-0.650454621798,0.0572824541137
"NCBI|BK000554.2|DAA00909.1|28269731|TPA_inf: TPA_exp: ribosomal protein L20 [Chlamydomonas reinhardtii].",-0.77877652375,0.0527109420081,-1.2212844117,0.753764129339,-0.128821799654,0.115453148632,-0.440427518104,0.0804793554248,-0.0693647911434,0.212034706726,-0.342254787429,0.001
"Cre01.g038400.t1.1|PACid:19865127",0.0306056409188,0.312655571602,0.486399651099,0.148557485752,-1.13116489176,0.105617853746,0.00290009387815,0.136685013565,-0.717707174128,0.127158875372,0.733228878458,0.218918899183
"Cre01.g050100.t1.1|PACid:19866312",-0.217993059641,0.196769243857,0.00302728447346,0.081052353493,-0.787598001708,0.440146112909,-0.0885933708283,0.403020360259,-0.741293194031,0.209898690762,0.462703960706,0.326602855153
"Cre12.g494450.t1.1|PACid:19874424",-0.550283365928,0.00979924042373,-1.47394686662,0.0705597207273,-0.294600225152,0.08111640825,-0.75579245984,0.372123001612,-0.0726620468892,0.16828306048,-0.306259724082,0.20315572131
"Cre06.g262050.t1.1|PACid:19863174",0.507033354201,0.0810135722303,0.458491980612,0.001,-0.0196679611846,0.376081803007,-0.364121406691,0.228429382896,0.38851561856,0.001,0.874802176513,0.46370184256
"Cre03.g195650.t1.1|PACid:19871957",-0.700986963969,0.001,-0.716445034288,0.771981831866,-0.196188933383,0.0982569888254,-0.590459898728,0.109624774811,-0.0966990881879,0.249798982213,-0.377600538521,0.257500531843
